opcode,alias_of,input_form,oem_source,label_lines,implementation_lines,resource_dependencies,native_owner,dispatch,source_completion,source_failure,cancellation,branch_specific_behavior,source_calls,port_status
ldtip,,raw tokens,BioXPControlLib/ControlLib.cs,6204-6281,6204-6281,LockGeneral; LockTipOperation,FillTipHotelIfEmpty/newloadTips; pipette pressure; machine tip-zone state,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Full FillTipHotelIfEmpty9595–9620/newloadTips9473–9593/pressload9325–9471/approach helpers9622–9682/checkTips9918–10223. Inventory selection, re-press, eject and retry, dirty/loaded/channel/hotel state mutation; error event + throw when depleted. Hotel approach always true locally; termination via external inventory getter/exception. Cached same-tip/no-new early return. checkTips catch can preserve true.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; m_PipetteControl.readPressure; addPressureBase; ClassMessageLog.logMessage; getMedian; Enum.Parse; typeof; Convert.ToInt32; FillTipHotelIfEmpty; newloadTips,SPEC DRAFT — not ported/qualified
led,,raw tokens,BioXPControlLib/ControlLib.cs,6282-6296,6282-6296,LockGeneral,ClassControlInterface.setColor -> board color output,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",Numeric conversions inside unretained child; ClassControlInterface.setColor clamps/caches then calls ClassDeckBoard. Native output W4.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; m_ControlInterface.setColor; Convert.ToInt32,SPEC DRAFT — not ported/qualified
masp,,typed ClassAspirate,BioXPControlLib/ControlLib.cs,6297-6379,6297-6379,LockGeneral; LockTipOperation,masp -> ClassControlInterface lift/lower; pipette Aspirate/AspirateAir; pressure collection,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Full7724–7903, pipette collection and pressure file/helper closure read. Fluid model updates after calls/sleeps; pressure deviations can mark m_savetip without throwing. Shared pipette bool timeout semantics remain weaker than physical success.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; masp; m_PipetteControl.readPressure; getMedian; ClassMessageLog.logMessage; m_machineStatus.currentWellVolume; add; ToString,SPEC DRAFT — not ported/qualified
mmix,,typed ClassMix,BioXPControlLib/ControlLib.cs,6380-6397,6380-6397,LockGeneral; LockTipOperation,mmix -> ClassControlInterface lift/moveXY; pipette Aspirate/Dispense/Purge,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Core 7360–7722 read, including separate raw overload not called by this branch. <=5 volume return, split-volume path or C/H/default loops; no stop polling inside those core loops. Scientific options recorded, not evaluated/changed.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; mmix,SPEC DRAFT — not ported/qualified
mov,,typed ClassMoveTo,BioXPControlLib/ControlLib.cs,6398-6412,6398-6412,LockGeneral,movExecution -> ClassControlInterface.scriptmoveTo/rPunchFoil/hokeypokey/CirclePunch/moves,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Full6706–6994 and entire ClassControlInterface geometry read: old-well/material/default selection, plate/location mapping, r/w/h/d/t piercing, ordered native move flags/version/state. No returned physical outcome to interpreter caller.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; movExecution,SPEC DRAFT — not ported/qualified
ms,,raw tokens,BioXPControlLib/ControlLib.cs,6413-6427,6413-6427,LockGeneral,processms -> machine strip.nextAvailableWell and ClassControlInterface.scriptmoveTo,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",8035–8057 read. Select first strip with availability; no explicit all-strips-not-found guard before move.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; processms; Convert.ToDouble; Convert.ToInt32,SPEC DRAFT — not ported/qualified
park,,raw tokens,BioXPControlLib/ControlLib.cs,6428-6442,6428-6442,LockGeneral,parkGantry(rehome:true) -> pipette ejection + ClassControlInterface.HomeXY/scriptmoveTo,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",7071–7122 read: already parked early return; TipExist after ejection raises error/pause and returns; rehome lost-step checks set pause/error and return. Manual call uses default rehome false.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; parkGantry; Convert.ToInt32,SPEC DRAFT — not ported/qualified
pressp,,raw tokens,BioXPControlLib/ControlLib.cs,6443-6462,6443-6462,LockGeneral,pressPlates -> pressPlate -> native gripper/Z/motion,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",Enum.TryParse return ignored. Full pressPlates5154–5191 only handles plate enum0/1/2; one item passes home flag to pressPlate8412–8487; multi valid items launch unretained sendGripperHome then Gripper release. Zero supported items do not trigger that home/release path. Caller releases General only.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; pressPlates; Convert.ToInt32,SPEC DRAFT — not ported/qualified
releasePlate,release,raw tokens,BioXPControlLib/ControlLib.cs,6463-6463,6464-6496,LockGeneral,releasePlate -> native move/gripper/sendZandGripperHome + SnapshotImage,alias fallthrough,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",8116–8260 read. Plate name or location; optional pressplate. releasePlate catches/logs/sets m_runningerror without rethrow/finally; gripper home child unretained and only Z joined. Caller sets AllowtoStop=true and releases General.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; getPlateLocation; Enum.Parse; typeof; releasePlate; Equals; Convert.ToInt32,SPEC DRAFT — not ported/qualified
release,,raw tokens,BioXPControlLib/ControlLib.cs,6464-6496,6464-6496,LockGeneral,releasePlate -> native move/gripper/sendZandGripperHome + SnapshotImage,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",8116–8260 read. Plate name or location; optional pressplate. releasePlate catches/logs/sets m_runningerror without rethrow/finally; gripper home child unretained and only Z joined. Caller sets AllowtoStop=true and releases General.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; getPlateLocation; Enum.Parse; typeof; releasePlate; Equals; Convert.ToInt32,SPEC DRAFT — not ported/qualified
retip,,raw tokens,BioXPControlLib/ControlLib.cs,6497-6511,6497-6511,LockGeneral,retip -> m_machineStatus.retip (W2),unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Model mutation, not proven physical replenishment; body 7051–7054.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; retip; Convert.ToInt32,SPEC DRAFT — not ported/qualified
rmb,,typed ClassDebubble,BioXPControlLib/ControlLib.cs,6512-6529,6512-6529,LockGeneral; LockTipOperation,"rmb -> native lift/lower/moveXY, pipette Aspirate/Dispense/Purge",unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","7179–7300 read; defaults/volume clamp, <=5 early return, outer count and inner dispense loop, optional orbit and tip dip; no stop polling inside body.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; rmb,SPEC DRAFT — not ported/qualified
snapshot,,raw tokens,BioXPControlLib/ControlLib.cs,6530-6547,6530-6547,LockGeneral,takeAspirateImage -> vision boundary,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","CheckSnapTips false no-op; full takeAspirateImage1683–1692 moves/updates location, sleeps then SnapshotImage8951–8994; SaveImage catch logs/swallows. Vision implementation external.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; takeAspirateImage; Convert.ToInt32,SPEC DRAFT — not ported/qualified
so,,raw tokens,BioXPControlLib/ControlLib.cs,6548-6562,6548-6562,LockGeneral,shakeoff -> native Z position/move/current acceleration/reset/lower/Home,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",6996–7010 read; count loop and sleeps; no stop poll inside body.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; shakeoff; Convert.ToInt32,SPEC DRAFT — not ported/qualified
sp,,raw tokens,BioXPControlLib/ControlLib.cs,6563-6583,6563-6583,LockTCOperation; LockGeneral,setThermalTemperature -> SetTCTemperature -> ClassThermalBoard.setTemperature(wait:true),unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","TC then General lock. MotionOnly bypass; lower TC call blocks by contract, 2971–3014. Wait completion/Abort semantics W4.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; setThermalTemperature; Convert.ToDouble; Convert.ToInt32,SPEC DRAFT — not ported/qualified
